Algorithm,Running Time (ns),Matrix size (n),Valid?,Seed,Range Start (a),Range End (b)
Naive,547300,2,true,42,-100,100
Recursive,5400,2,true,42,-100,100
Strassen,10100,2,true,42,-100,100
Naive,10000,2,true,42,-100,100
Recursive,3900,2,true,42,-100,100
Strassen,3800,2,true,42,-100,100
Naive,3500,2,true,42,-100,100
Recursive,3900,2,true,42,-100,100
Strassen,3600,2,true,42,-100,100
Naive,3600,2,true,42,-100,100
Recursive,3600,2,true,42,-100,100
Strassen,3700,2,true,42,-100,100
Naive,3600,2,true,42,-100,100
Recursive,3700,2,true,42,-100,100
Strassen,3700,2,true,42,-100,100
Naive,3700,2,true,42,-100,100
Recursive,3800,2,true,42,-100,100
Strassen,3700,2,true,42,-100,100
Naive,3700,2,true,42,-100,100
Recursive,3700,2,true,42,-100,100
Strassen,3700,2,true,42,-100,100
Naive,3600,2,true,42,-100,100
Recursive,10700,2,true,42,-100,100
Strassen,3700,2,true,42,-100,100
Naive,3700,2,true,42,-100,100
Recursive,3600,2,true,42,-100,100
Strassen,3800,2,true,42,-100,100
Naive,3600,2,true,42,-100,100
Recursive,3700,2,true,42,-100,100
Strassen,3800,2,true,42,-100,100
Naive,571400,4,true,42,-100,100
Recursive,10800,4,true,42,-100,100
Strassen,10800,4,true,42,-100,100
Naive,10000,4,true,42,-100,100
Recursive,14600,4,true,42,-100,100
Strassen,9700,4,true,42,-100,100
Naive,9700,4,true,42,-100,100
Recursive,15700,4,true,42,-100,100
Strassen,9800,4,true,42,-100,100
Naive,10300,4,true,42,-100,100
Recursive,14600,4,true,42,-100,100
Strassen,9700,4,true,42,-100,100
Naive,9600,4,true,42,-100,100
Recursive,14000,4,true,42,-100,100
Strassen,9500,4,true,42,-100,100
Naive,11900,4,true,42,-100,100
Recursive,13600,4,true,42,-100,100
Strassen,9400,4,true,42,-100,100
Naive,11400,4,true,42,-100,100
Recursive,16200,4,true,42,-100,100
Strassen,9600,4,true,42,-100,100
Naive,9200,4,true,42,-100,100
Recursive,14300,4,true,42,-100,100
Strassen,31800,4,true,42,-100,100
Naive,11300,4,true,42,-100,100
Recursive,13000,4,true,42,-100,100
Strassen,7300,4,true,42,-100,100
Naive,6900,4,true,42,-100,100
Recursive,8700,4,true,42,-100,100
Strassen,4500,4,true,42,-100,100
Naive,569000,8,true,42,-100,100
Recursive,55200,8,true,42,-100,100
Strassen,47600,8,true,42,-100,100
Naive,52900,8,true,42,-100,100
Recursive,49800,8,true,42,-100,100
Strassen,50100,8,true,42,-100,100
Naive,47800,8,true,42,-100,100
Recursive,45000,8,true,42,-100,100
Strassen,14300,8,true,42,-100,100
Naive,15600,8,true,42,-100,100
Recursive,15300,8,true,42,-100,100
